年月,医院名,保険診療売上,自費診療売上,物販売上,合計売上,延患者数,実患者数,新患数,再来患者数,中断患者数,メンテ移行数,予約数,キャンセル数,無断キャンセル数,人件費,材料費,技工費,家賃,水道光熱費,リース料,広告費,通信費,消耗品費,研修費,雑費,減価償却費,ユニット数,稼働ユニット数,常勤歯科医師数,非常勤歯科医師数,常勤歯科衛生士数,非常勤歯科衛生士数,常勤助手数,非常勤助手数,常勤受付数,非常勤受付数,診療日数,平均診療時間
2025-04,セブン歯科,965,304,26,1295,1038,536,49,487,29,62,1151,128,20,406,124,95,80,21,41,33,11,20,11,16,46,7,6,3,1,4,3,3,2,2,1,22,8.5
2025-05,セブン歯科,1056,332,29,1417,972,522,42,480,24,65,1089,112,25,394,141,90,80,21,40,38,11,21,16,16,47,7,6,3,1,4,3,3,2,2,1,21,8.5
2025-06,セブン歯科,1044,323,28,1395,1047,572,50,522,26,68,1122,111,26,399,129,93,80,22,41,32,10,19,16,16,47,7,6,3,1,4,3,3,2,2,1,22,8.5
2025-07,セブン歯科,937,292,25,1254,807,441,43,398,20,51,859,87,15,392,115,83,80,26,41,30,10,20,13,15,48,7,6,3,1,4,3,3,2,2,1,20,8.5
2025-08,セブン歯科,909,268,23,1200,704,377,42,335,17,44,741,63,14,401,121,90,80,27,41,31,11,19,13,17,47,7,6,3,1,4,3,3,2,2,1,18,8.5
2025-09,セブン歯科,1085,333,29,1447,958,503,46,457,23,57,1053,119,23,391,142,99,80,27,41,38,11,19,14,15,46,7,6,3,1,4,3,3,2,2,1,21,8.5
2025-10,セブン歯科,1020,303,26,1349,1052,543,45,498,25,66,1165,123,23,391,129,106,80,23,41,30,11,20,14,15,47,7,6,3,1,4,3,3,2,2,1,23,8.5
2025-11,セブン歯科,1089,328,29,1446,1009,519,45,474,23,56,1126,128,22,410,131,98,80,22,41,29,11,20,16,17,46,7,6,3,1,4,3,3,2,2,1,21,8.5
2025-12,セブン歯科,840,252,22,1114,717,344,42,302,17,40,774,66,14,399,102,78,80,23,41,32,11,22,11,17,47,7,6,3,1,4,3,3,2,2,1,18,8.5
2026-01,セブン歯科,1019,297,26,1342,816,429,45,384,19,52,882,96,21,397,133,90,80,26,40,33,11,20,15,15,47,7,6,3,1,4,3,3,2,2,1,20,8.5
2026-02,セブン歯科,967,312,27,1306,922,452,44,408,26,52,1010,108,17,395,129,92,80,26,42,39,11,20,13,16,46,7,6,3,1,4,3,3,2,2,1,20,8.5
2026-03,セブン歯科,1091,322,28,1441,1184,622,48,574,29,71,1284,112,31,411,151,104,80,24,41,36,11,20,11,16,47,7,6,3,1,4,3,3,2,2,1,23,8.5
