年月,医院名,保険診療売上,自費診療売上,物販売上,合計売上,延患者数,実患者数,新患数,再来患者数,中断患者数,メンテ移行数,予約数,キャンセル数,無断キャンセル数,人件費,材料費,技工費,家賃,水道光熱費,リース料,広告費,通信費,消耗品費,研修費,雑費,減価償却費,ユニット数,稼働ユニット数,常勤歯科医師数,非常勤歯科医師数,常勤歯科衛生士数,非常勤歯科衛生士数,常勤助手数,非常勤助手数,常勤受付数,非常勤受付数,診療日数,平均診療時間
2025-04,テン歯科,1565,558,49,2172,1537,770,62,708,41,97,1645,163,29,618,191,152,120,33,63,54,17,32,17,24,73,10,8,4,2,6,3,4,3,2,1,22,8.5
2025-05,テン歯科,1561,567,49,2177,1376,726,63,663,31,88,1439,157,23,616,220,156,120,35,63,47,17,30,21,26,75,10,8,4,2,6,3,4,3,2,1,21,8.5
2025-06,テン歯科,1674,563,49,2286,1539,820,71,749,36,106,1607,164,33,636,205,167,120,36,62,60,17,29,23,23,74,10,8,4,2,6,3,4,3,2,1,22,8.5
2025-07,テン歯科,1484,512,45,2041,1230,630,62,568,29,71,1374,142,31,635,193,133,120,43,62,60,17,35,20,23,75,10,8,4,2,6,3,4,3,2,1,20,8.5
2025-08,テン歯科,1386,512,44,1942,994,532,62,470,28,71,1116,108,21,634,165,134,120,43,63,54,17,35,24,27,75,10,8,4,2,6,3,4,3,2,1,18,8.5
2025-09,テン歯科,1496,535,46,2077,1472,795,61,734,39,91,1640,158,35,623,218,159,120,41,62,52,17,31,23,27,74,10,8,4,2,6,3,4,3,2,1,21,8.5
2025-10,テン歯科,1609,535,47,2191,1574,893,66,827,49,95,1697,164,37,611,208,161,120,37,62,46,17,33,21,24,74,10,8,4,2,6,3,4,3,2,1,23,8.5
2025-11,テン歯科,1567,558,48,2173,1575,843,74,769,38,104,1767,161,29,636,228,154,120,34,63,49,17,29,20,23,75,10,8,4,2,6,3,4,3,2,1,21,8.5
2025-12,テン歯科,1366,466,40,1872,1038,547,54,493,25,66,1084,103,20,635,163,137,120,34,64,47,17,30,22,23,75,10,8,4,2,6,3,4,3,2,1,18,8.5
2026-01,テン歯科,1542,525,46,2113,1208,706,63,643,34,76,1350,152,30,618,182,149,120,38,63,59,17,34,23,26,75,10,8,4,2,6,3,4,3,2,1,20,8.5
2026-02,テン歯科,1440,503,44,1987,1313,717,66,651,41,86,1424,142,27,638,189,156,120,41,62,59,16,33,20,27,73,10,8,4,2,6,3,4,3,2,1,20,8.5
2026-03,テン歯科,1591,579,50,2220,1652,919,67,852,44,118,1792,183,38,637,237,173,120,40,63,48,16,33,18,27,74,10,8,4,2,6,3,4,3,2,1,23,8.5
