年月,医院名,保険診療売上,自費診療売上,物販売上,合計売上,延患者数,実患者数,新患数,再来患者数,中断患者数,メンテ移行数,予約数,キャンセル数,無断キャンセル数,人件費,材料費,技工費,家賃,水道光熱費,リース料,広告費,通信費,消耗品費,研修費,雑費,減価償却費,ユニット数,稼働ユニット数,常勤歯科医師数,非常勤歯科医師数,常勤歯科衛生士数,非常勤歯科衛生士数,常勤助手数,非常勤助手数,常勤受付数,非常勤受付数,診療日数,平均診療時間
2025-04,スリー歯科,376,83,7,466,361,198,17,181,10,26,386,39,8,133,42,30,35,8,14,10,4,8,5,5,16,3,3,1,0,2,1,1,1,1,0,22,8.5
2025-05,スリー歯科,375,84,7,466,380,201,17,184,9,26,412,40,7,135,48,34,35,8,14,11,4,8,5,5,16,3,3,1,0,2,1,1,1,1,0,21,8.5
2025-06,スリー歯科,402,87,8,497,396,230,19,211,12,27,414,40,9,134,47,36,35,8,14,13,4,7,5,5,16,3,3,1,0,2,1,1,1,1,0,22,8.5
2025-07,スリー歯科,355,72,6,433,320,177,16,161,8,19,353,33,6,134,39,28,35,9,14,11,4,6,6,5,16,3,3,1,0,2,1,1,1,1,0,20,8.5
2025-08,スリー歯科,316,61,5,382,286,147,17,130,7,18,297,27,7,132,42,29,35,9,14,11,4,8,6,5,16,3,3,1,0,2,1,1,1,1,0,18,8.5
2025-09,スリー歯科,361,73,6,440,356,197,20,177,10,26,384,37,9,139,45,32,35,10,14,11,4,6,6,5,16,3,3,1,0,2,1,1,1,1,0,21,8.5
2025-10,スリー歯科,371,75,7,453,401,245,21,224,11,32,424,44,7,133,45,35,35,8,14,10,4,7,5,5,16,3,3,1,0,2,1,1,1,1,0,23,8.5
2025-11,スリー歯科,401,78,7,486,394,229,20,209,11,26,422,39,9,136,48,32,35,8,14,11,4,7,4,5,16,3,3,1,0,2,1,1,1,1,0,21,8.5
2025-12,スリー歯科,309,63,5,377,278,140,17,123,8,18,304,32,6,131,39,26,35,8,14,11,4,7,4,5,16,3,3,1,0,2,1,1,1,1,0,18,8.5
2026-01,スリー歯科,362,78,7,447,327,184,18,166,9,22,359,32,8,133,43,30,35,9,14,12,4,7,6,5,16,3,3,1,0,2,1,1,1,1,0,20,8.5
2026-02,スリー歯科,382,71,6,459,327,181,19,162,10,22,366,39,8,133,45,33,35,9,14,12,4,7,4,5,16,3,3,1,0,2,1,1,1,1,0,20,8.5
2026-03,スリー歯科,397,75,6,478,445,237,18,219,13,30,491,45,10,136,53,33,35,9,14,11,4,7,4,5,16,3,3,1,0,2,1,1,1,1,0,23,8.5
