年月,医院名,保険診療売上,自費診療売上,物販売上,合計売上,延患者数,実患者数,新患数,再来患者数,中断患者数,メンテ移行数,予約数,キャンセル数,無断キャンセル数,人件費,材料費,技工費,家賃,水道光熱費,リース料,広告費,通信費,消耗品費,研修費,雑費,減価償却費,ユニット数,稼働ユニット数,常勤歯科医師数,非常勤歯科医師数,常勤歯科衛生士数,非常勤歯科衛生士数,常勤助手数,非常勤助手数,常勤受付数,非常勤受付数,診療日数,平均診療時間
2025-04,トゥエルブ歯科,1829,832,72,2733,1966,1048,93,955,48,131,2206,194,42,854,252,191,160,50,83,78,22,46,28,31,100,12,10,5,3,8,4,5,3,3,1,22,8.5
2025-05,トゥエルブ歯科,1950,799,69,2818,1919,973,80,893,54,111,2094,228,42,857,288,220,160,50,85,64,22,39,32,31,99,12,10,5,3,8,4,5,3,3,1,21,8.5
2025-06,トゥエルブ歯科,2019,867,75,2961,1901,1019,88,931,57,135,2097,213,45,853,301,209,160,48,82,63,23,42,31,31,100,12,10,5,3,8,4,5,3,3,1,22,8.5
2025-07,トゥエルブ歯科,1744,709,62,2515,1680,886,75,811,43,100,1832,158,37,823,242,169,160,58,82,67,21,46,25,37,99,12,10,5,3,8,4,5,3,3,1,20,8.5
2025-08,トゥエルブ歯科,1652,680,59,2391,1352,729,69,660,34,80,1431,127,33,844,247,179,160,54,85,71,22,39,31,35,99,12,10,5,3,8,4,5,3,3,1,18,8.5
2025-09,トゥエルブ歯科,1872,775,67,2714,1879,1028,95,933,48,115,2004,219,39,844,296,213,160,58,84,65,22,39,24,37,98,12,10,5,3,8,4,5,3,3,1,21,8.5
2025-10,トゥエルブ歯科,2080,952,83,3115,2171,1185,81,1104,52,145,2363,242,51,842,281,226,160,50,85,66,21,38,29,31,99,12,10,5,3,8,4,5,3,3,1,23,8.5
2025-11,トゥエルブ歯科,2088,960,83,3131,1894,995,99,896,47,117,1990,216,40,863,284,229,160,48,84,72,22,42,31,37,99,12,10,5,3,8,4,5,3,3,1,21,8.5
2025-12,トゥエルブ歯科,1683,737,64,2484,1349,704,66,638,32,89,1464,131,33,824,238,181,160,49,83,64,22,40,28,37,99,12,10,5,3,8,4,5,3,3,1,18,8.5
2026-01,トゥエルブ歯科,1893,833,72,2798,1648,912,77,835,47,98,1722,147,33,840,270,188,160,53,84,60,22,43,28,35,99,12,10,5,3,8,4,5,3,3,1,20,8.5
2026-02,トゥエルブ歯科,2008,822,71,2901,1693,890,85,805,48,113,1867,182,31,861,248,196,160,56,84,73,22,39,32,35,100,12,10,5,3,8,4,5,3,3,1,20,8.5
2026-03,トゥエルブ歯科,2149,926,80,3155,2198,1177,94,1083,63,137,2335,269,55,825,312,217,160,54,83,72,21,45,26,35,99,12,10,5,3,8,4,5,3,3,1,23,8.5
