年月,月商(円),保険売上(円),自費売上(円),メンテ売上(円),訪問売上(円),自費率(%),保険点数(点),1点あたり単価(円),返戻・査定減率(%),延患者数(人),実患者数(人),新患数(人),再来患者数(人),予約数(件),キャンセル数(件),再来率(%),中断率(%),メンテ移行率(%),キャンセル率(%),無断キャンセル数(件),無断キャンセル率(%),無断キャンセル損失額(円),新患獲得単価(円),新患1人あたり生涯売上(円),LTV/獲得単価比(倍),平均継続月数(ヶ月),ユニット1台あたり売上(円),稼働ユニット1台あたり売上(円),チェア稼働率(%),チェア稼働時間(分),チェア稼働可能時間(分),チェア分単価(円),空き枠損失額(円),歯科医師FTE(人),衛生士FTE(人),総スタッフFTE(人),総労働時間(時間),人時生産性(円),残業比率(%),Dr1人あたり売上(円),DH1人あたり売上(円),1日平均来院数(人),患者単価(円),人件費率(%),材料費率(%),コスト合計(円),直接原価(円),直接計上費(円),間接費(円),人件費(円),材料費(円),売上総利益(円),売上総利益率(%),営業利益(円),営業利益率(%),配賦前利益(円),配賦前利益率(%),配賦後営業利益(円),配賦後営業利益率(%),限界利益率(%),損益分岐点売上(円),安全余裕率(%),損益分岐点チェア稼働率(%),損益分岐点患者数(人)
2023-08,8559000,6334000,984000,984000,257000,11.5,685135,9.62,3.8,669,388,41,347,729,69,89.43,5.15,21.91,9.47,10,1.37,127937.22,2926.83,208756.1,71.33,19.4,1711800,1711800,53.66,30105,56100,284.3,4998080.72,2.5,4,10.5,2240.7,3819.79,14.12,3423600,246000,30.41,12793.72,30,10.49,7567000,958000,220000,6389000,2568000,898000,7601000,88.81,992000,11.59,7381000,86.24,992000,11.59,88.81,7441972.24,13.05,46.66,581.69
2023-09,9300000,6826000,1104000,1083000,287000,11.87,738827,9.63,3.73,724,420,44,376,789,74,89.52,5.24,22.38,9.38,11,1.39,141298.34,2727.27,211363.64,77.5,19.09,1860000,1860000,58.07,32580,56100,285.45,4311740.33,2.5,4,10.5,2240.7,4150.49,14.12,3720000,270750,32.91,12845.3,29.86,10.42,7831000,1034000,220000,6577000,2777000,969000,8266000,88.88,1469000,15.8,8046000,86.52,1469000,15.8,88.88,7647241.71,17.77,47.75,595.33
2023-10,9780000,7120000,1197000,1153000,310000,12.24,771158,9.63,3.65,759,440,46,394,827,77,89.55,5,22.5,9.31,12,1.45,154624.51,2826.09,212608.7,75.23,20,1956000,1956000,60.88,34155,56100,286.34,3874202.9,2.5,4,10.5,2240.7,4364.71,14.12,3912000,288250,34.5,12885.38,29.72,10.35,8002000,1080000,220000,6702000,2907000,1012000,8700000,88.96,1778000,18.18,8480000,86.71,1778000,18.18,88.96,7781282.76,20.44,48.44,603.88
2023-11,9781000,7061000,1234000,1167000,319000,12.62,765378,9.64,3.58,757,439,46,393,825,76,89.52,5.01,22.78,9.21,12,1.45,155048.88,2826.09,212630.43,75.24,19.95,1956200,1956200,60.72,34065,56100,287.13,3910677.23,2.5,4,10.5,2240.7,4365.15,14.12,3912400,291750,34.41,12920.74,29.58,10.28,7981000,1073000,220000,6688000,2893000,1005000,8708000,89.03,1800000,18.4,8488000,86.78,1800000,18.4,89.03,7759203.95,20.67,48.17,600.52
2023-12,10560000,7561000,1371000,1275000,353000,12.98,820128,9.65,3.5,815,473,49,424,888,82,89.64,5.07,23.26,9.23,12,1.35,155484.66,2857.14,215510.2,75.43,19.71,2112000,2112000,65.37,36675,56100,287.93,3170159.51,2.5,4,10.5,2240.7,4712.81,14.12,4224000,318750,37.05,12957.06,29.42,10.21,8321000,1152000,220000,6949000,3107000,1078000,9408000,89.09,2239000,21.2,9188000,87.01,2239000,21.2,89.09,8046836.73,23.8,49.82,621.04
2024-01,9200000,6532000,1229000,1124000,315000,13.36,709009,9.66,3.43,708,411,43,368,772,70,89.54,4.87,23.6,9.07,11,1.42,142937.85,3255.81,213953.49,65.71,20.55,1840000,1840000,56.79,31860,56100,288.76,4569679.85,2.5,4,10.5,2240.7,4105.86,14.12,3680000,281000,32.18,12994.35,29.29,10.14,7768000,997000,220000,6551000,2695000,933000,8203000,89.16,1432000,15.57,7983000,86.77,1432000,15.57,89.16,7593953.43,17.46,46.88,584.4
2024-02,9100000,6406000,1249000,1125000,320000,13.73,695944,9.66,3.35,698,405,42,363,761,69,89.63,4.94,23.7,9.07,11,1.45,143409.74,3333.33,216666.67,65,20.25,1820000,1820000,55.99,31410,56100,289.72,4715138.49,2.5,4,10.5,2240.7,4061.23,14.12,3640000,281250,31.73,13037.25,29.14,10.07,7707000,980000,220000,6507000,2652000,916000,8120000,89.23,1393000,15.31,7900000,86.81,1393000,15.31,89.23,7538879.31,17.16,46.38,578.26
2024-03,10581000,7385000,1492000,1323000,381000,14.1,802936,9.67,3.28,809,469,48,421,882,79,89.77,4.9,24.09,8.96,12,1.36,156949.32,3125,220437.5,70.54,20.39,2116200,2116200,64.89,36405,56100,290.65,3278496.91,2.5,4,10.5,2240.7,4722.19,14.12,4232400,330750,36.77,13079.11,29,10,8264000,1132000,220000,6912000,3068000,1058000,9449000,89.3,2317000,21.9,9229000,87.22,2317000,21.9,89.3,7986421,24.52,48.98,610.62
2024-04,10080000,6975000,1459000,1274000,372000,14.47,759032,9.68,3.21,768,445,46,399,837,74,89.66,4.72,24.27,8.84,12,1.43,157500,3260.87,219130.43,67.2,21.19,2016000,2016000,61.6,34560,56100,291.67,3828125,2.5,4,10.5,2240.7,4498.59,14.12,4032000,318500,34.91,13125,28.86,9.93,8419000,1072000,220000,7127000,2909000,1001000,9008000,89.37,1661000,16.48,8788000,87.18,1661000,16.48,89.37,8221332.15,18.44,50.24,626.39
2024-05,9870000,6771000,1465000,1262000,372000,14.84,737391,9.69,3.13,750,435,45,390,818,72,89.66,4.6,24.6,8.8,11,1.34,144760,3555.56,219333.33,61.69,21.75,1974000,1974000,60.16,33750,56100,292.44,4075213.33,2.5,4,10.5,2240.7,4404.87,14.12,3948000,315500,34.09,13160,28.71,9.86,8332000,1042000,220000,7070000,2834000,973000,8828000,89.44,1538000,15.58,8608000,87.21,1538000,15.58,89.44,8150464.43,17.42,49.68,619.34
2024-06,10580000,7194000,1610000,1368000,408000,15.22,784174,9.69,3.06,802,465,47,418,874,76,89.89,4.73,24.95,8.7,12,1.37,158304.24,3404.26,225106.38,66.13,21.14,2116000,2116000,64.33,36090,56100,293.16,3399143.81,2.5,4,10.5,2240.7,4721.74,14.12,4232000,342000,36.45,13192.02,28.57,9.79,8610000,1110000,220000,7280000,3023000,1036000,9470000,89.51,1970000,18.62,9250000,87.43,1970000,18.62,89.51,8379091.87,20.8,50.95,635.16
2024-07,10480000,7064000,1633000,1370000,413000,15.58,770689,9.7,2.98,792,459,47,412,863,75,89.76,4.58,25.27,8.69,12,1.39,158787.88,3404.26,222978.72,65.5,21.86,2096000,2096000,63.53,35640,56100,294.05,3541851.85,2.5,4,10.5,2240.7,4677.11,14.12,4192000,342500,36,13232.32,28.43,9.7,8574000,1090000,220000,7264000,2979000,1017000,9390000,89.6,1906000,18.19,9170000,87.5,1906000,18.19,89.6,8352749.73,20.3,50.63,631.24
2024-08,9631000,6433000,1537000,1273000,388000,15.96,702533,9.71,2.91,725,420,43,377,790,68,89.76,4.52,25.48,8.61,11,1.39,146125.52,3953.49,223976.74,56.65,22.11,1926200,1926200,58.16,32625,56100,295.2,4445758.16,2.5,4,10.5,2240.7,4298.21,14.12,3852400,318250,32.95,13284.14,28.29,9.65,8359000,996000,220000,7143000,2725000,929000,8635000,89.66,1272000,13.21,8415000,87.37,1272000,13.21,89.66,8212281.76,14.73,49.59,618.2
2024-09,10460000,6925000,1708000,1397000,430000,16.33,756954,9.72,2.83,785,455,46,409,856,73,89.89,4.4,25.93,8.53,12,1.4,159898.09,3695.65,227391.3,61.53,22.75,2092000,2092000,62.97,35325,56100,296.11,3659889.6,2.5,4,10.5,2240.7,4668.18,14.12,4184000,349250,35.68,13324.84,28.15,9.58,8637000,1075000,220000,7342000,2944000,1002000,9385000,89.72,1823000,17.43,9165000,87.62,1823000,17.43,89.72,8428185.4,19.42,50.74,632.52
2024-10,10990000,7209000,1835000,1484000,462000,16.7,788873,9.72,2.76,823,477,48,429,897,76,89.94,4.4,26.21,8.47,13,1.45,173596.6,3750,228958.33,61.06,22.71,2198000,2198000,66.02,37035,56100,296.75,3160348.32,2.5,4,10.5,2240.7,4904.72,14.12,4396000,371000,37.41,13353.58,28,9.5,8811000,1121000,220000,7470000,3077000,1044000,9869000,89.8,2179000,19.83,9649000,87.8,2179000,19.83,89.8,8563491.74,22.08,51.44,641.29
